,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,RSI_14,MACD,MACD_signal,MACD_histogram,BB_middle,BB_upper,BB_lower,BB_position
1970-01-01 00:00:00.000000000,,182.9054107666016,182.99459544718977,180.4675903156434,180.91352883975787,48983000,,,,,0.0,0.0,0.0,,,,
1970-01-01 00:00:00.000000001,,181.6451416015625,183.669478466616,180.73220418072015,183.48093424482693,50759500,,,,,-0.1005342923677972,-0.020106858473559443,-0.08042743389423776,,,,
1970-01-01 00:00:00.000000002,,184.85037231445312,185.6640864017181,183.2031085341488,184.01682262141372,72044800,,,,,0.0775331342113077,-0.0005788599365860146,0.07811199414789372,,,,
1970-01-01 00:00:00.000000003,,185.99154663085935,186.8548800445926,184.8602962551219,186.0709344816443,52393600,,,,,0.30719493088307104,0.0609758982273454,0.24621903265572564,,,,
1970-01-01 00:00:00.000000004,,188.2639617919922,189.1868170758504,185.93199122253947,186.46785537715888,70400000,,,,,0.6649038735409647,0.18176149329006927,0.4831423802508954,,,,
1970-01-01 00:00:00.000000005,,188.38304138183597,189.6333810173086,188.2044300863017,189.00821119957223,52845200,,,,,0.9470821420662787,0.33482562304531116,0.6122565190209676,,,,
1970-01-01 00:00:00.000000006,,188.41281127929688,189.34559954047236,187.72810435814964,188.0555735439889,41282900,,,,,1.1597438298300915,0.49980926440226725,0.6599345654278242,,,,
1970-01-01 00:00:00.000000007,,189.5738067626953,190.44705781727768,187.55938774134123,187.8769390854372,44361300,,,,,1.4057576826816103,0.6809989480581359,0.7247587346234744,,,,
1970-01-01 00:00:00.000000008,,190.87376403808597,191.25083732912464,189.4547310855792,189.62342455766935,42309400,,,,,1.686183843691225,0.8820359271847538,0.8041479165064713,,,,
1970-01-01 00:00:00.000000009,,189.43490600585935,191.3401840301744,188.8097513226368,190.79440205142183,34648500,,,,,1.771894481869424,1.0600076381216879,0.7118868437477361,,,,
1970-01-01 00:00:00.000000010,,185.4457550048828,189.5341303535584,185.1976736824305,189.5142796080912,51005900,,,,,1.5006312896875613,1.1481323684348625,0.35249892125269877,,,,
1970-01-01 00:00:00.000000011,,188.52194213867188,189.117343330764,186.59682877814635,187.3708563845385,36327000,,,,,1.5163957818166978,1.2217850511112296,0.29461073070546817,,,,
1970-01-01 00:00:00.000000012,,188.53192138671875,191.518815598676,187.6487523245995,190.0402451982288,52280100,,,,,1.5122620813995127,1.2798804571688862,0.23238162423062647,,,,
1970-01-01 00:00:00.000000013,,188.82958984375,190.7745542503335,188.05557725890648,188.15481585355155,53068000,,,,65.34702935347087,1.5155353032130563,1.3270114263777204,0.1885238768353359,,,,
1970-01-01 00:00:00.000000014,,189.8218994140625,190.70506832278696,189.1669762256753,189.29596821795036,49889100,,,,67.04152489802043,1.579987333853012,1.3776066078727789,0.20238072598023304,,,,
1970-01-01 00:00:00.000000015,,190.7745513916016,191.09210277636024,188.45251367186648,189.9707702687458,75158300,,,,72.8401659839742,1.688473414940404,1.4397799692863038,0.24869344565410012,,,,
1970-01-01 00:00:00.000000016,,192.54087829589844,193.49351725389891,191.0424725318553,191.41954585254337,50080500,,,,70.73301164574869,1.8951313407511634,1.530850243579276,0.3642810971718875,,,,
1970-01-01 00:00:00.000000017,,192.8584442138672,193.82100104656783,191.548567440495,193.1462119125533,47471400,,,,69.37293422494744,2.0607787764722048,1.6368359501578618,0.423942826314343,,,,
1970-01-01 00:00:00.000000018,,194.36676025390625,195.38885414673365,193.3744349100596,193.90036613096368,54156800,,,,67.99299630290443,2.2873963800006436,1.7669480361264183,0.5204483438742253,,,,
1970-01-01 00:00:00.000000019,,192.9874420166016,194.99194358986875,192.679823561343,194.1881624282746,41181800,188.75069732666014,,,62.63622232421332,2.3288475048034627,1.8793279298618273,0.4495195749416354,188.75069732666014,195.40964936412288,182.0917452891974,0.8181239830311027
1970-01-01 00:00:00.000000020,,195.37893676757807,195.42855606321456,192.65004206608785,193.1561225415401,53103900,189.37437362670897,,,66.92386167668303,2.5255583946293996,2.008574022815342,0.5169843718140577,189.37437362670897,196.06465788152954,182.6840893718884,0.9487524679196262
1970-01-01 00:00:00.000000021,,191.6378631591797,195.7857909182053,190.6753063763642,195.3888517006261,97010200,189.87400970458984,,,54.455915196953654,2.3524620985851072,2.0773516379692953,0.2751104606158119,189.87400970458984,195.54942620509678,184.1985932040829,0.6553941859978293
1970-01-01 00:00:00.000000022,,205.56016540527344,205.5700983482528,192.14393919328205,192.163774795878,172373300,190.90949935913085,,,70.52136209813878,3.3006476629273322,2.322010842960903,0.9786368199664293,190.90949935913085,199.52249988407604,182.29649883418566,1.3504972224087852
1970-01-01 00:00:00.000000023,,211.4347686767578,218.51003809526935,205.3121079690946,205.7785020929093,198134300,192.1816604614258,,,77.35012172825687,4.4745431932520034,2.752517313019123,1.7220258802328803,192.1816604614258,204.46862822425322,179.89469269859836,1.2834767937448208
1970-01-01 00:00:00.000000024,,212.5957794189453,215.08651049080893,209.97604121171415,213.09194207290332,97862700,193.39825134277345,,,86.30574704012841,5.435886209911615,3.2891910923976218,2.1466951175139934,193.39825134277345,208.5389355539577,178.25756713158918,1.133971616090865
1970-01-01 00:00:00.000000025,,210.8592529296875,213.5186780266973,209.67838315090867,212.2088162280511,70122700,194.522061920166,,,80.98002749457403,5.988601432254995,3.829073160369097,2.1595282718858986,194.522061920166,211.3391381633751,177.7049856769569,0.9857322037806246
1970-01-01 00:00:00.000000026,,215.0071258544922,217.2696263789355,211.0874438581257,211.73244926121387,93728300,195.85177764892578,,,82.93833806219021,6.6842787037932965,4.400114269053937,2.2841644347393597,195.85177764892578,214.7159390256367,176.98761627221486,1.007717990294946
1970-01-01 00:00:00.000000027,,212.6453857421875,216.95208913019516,211.36529274424583,215.9200623200828,79943300,197.0053565979004,,,78.18229749738194,6.964749962235857,4.91304140769032,2.0517085545455362,197.0053565979004,217.03857239794328,176.97214079785752,0.8903524351855088
1970-01-01 00:00:00.000000028,,208.07077026367188,212.59578653831548,207.24715355520107,212.28815296354617,86172500,197.86520690917968,,,69.9069533634945,6.740195440367813,5.278472214225819,1.4617232261419941,197.86520690917968,218.2632271627115,177.46718665564785,0.7501606339155672
1970-01-01 00:00:00.000000029,,205.89761352539065,210.2638394583417,205.52052500822023,208.77535128006048,241805100,198.68834228515624,,,66.06924380734912,6.314093833681028,5.4855965381168605,0.8284972955641674,198.68834228515624,218.98236468500042,178.39431988531206,0.677620559842532
1970-01-01 00:00:00.000000030,,206.5426025390625,211.0676038174596,205.0044951825124,206.12582769938732,80727000,199.74318466186523,,,65.24093890151016,5.959750173308464,5.580427265155182,0.3793229081532825,199.74318466186523,219.31945562014505,180.1669137035854,0.6736647876321268
1970-01-01 00:00:00.000000031,,207.4654693603516,209.75773850908567,207.0089930344414,207.54484206411715,55549700,200.69036102294922,,,65.69301759519072,5.687832121172875,5.601908236358721,0.0859238848141537,200.69036102294922,219.80838152729717,181.57234051860127,0.677191679856749
1970-01-01 00:00:00.000000032,,211.6133728027344,213.21101716086312,209.02340313251776,209.87680350658064,66213200,201.84443359375,,,67.534360566747,5.740859196855865,5.62969842845815,0.11116076839771516,201.84443359375,220.65633198421247,183.03253520328755,0.7596478836483934
1970-01-01 00:00:00.000000033,,212.4568634033203,214.0842763709762,210.7202940415425,213.0423317255729,49772700,203.02579727172852,,,70.01229645755375,5.784268729168701,5.660612488600261,0.12365624056844027,203.02579727172852,221.35777009366683,184.6938244497902,0.7572299834610656
1970-01-01 00:00:00.000000034,,209.0035552978516,214.411740437408,208.68601906723535,214.1140398112984,82542700,203.98488006591796,,,63.705354141538855,5.476883884485574,5.623866767777324,-0.14698288329175035,203.98488006591796,221.39198513129648,186.57777500053945,0.6441559412976547
1970-01-01 00:00:00.000000035,,215.0865173339844,215.84067914098924,210.29358412725625,210.46227761796723,60402900,205.20047836303712,,,72.52627181377765,5.658891204103583,5.630871655042577,0.02801954906100601,205.20047836303712,222.111793099474,188.28916362660024,0.7922906682603146
1970-01-01 00:00:00.000000036,,218.5795135498047,218.6886699462021,213.44919320249292,214.4911227279333,58046200,206.5024101257324,,,65.64147124818518,6.0156443155608486,5.707826187146231,0.30781812841461775,206.5024101257324,223.3190514539556,189.6857687975092,0.8590819114338664
1970-01-01 00:00:00.000000037,,219.84967041015625,219.84967041015625,217.34900644671097,218.3115631866412,37369800,207.8519714355469,,,61.36731193132937,6.327920442279776,5.83184503817294,0.49607540410683626,207.8519714355469,224.38813600158724,191.31580686950653,0.8627715159308631
1970-01-01 00:00:00.000000038,,224.60289001464844,224.71204639614564,219.9488822406841,219.9488822406841,60412400,209.363777923584,,,64.78496825798854,6.8796423853122235,6.041404507600797,0.8382378777114265,209.363777923584,226.23414236991334,192.49341347725465,0.9516533160722609
1970-01-01 00:00:00.000000039,,226.07156372070312,226.1013322692385,221.53662969916704,225.3471553285217,59085900,211.01798400878906,,,68.85607742204918,7.350661839905371,6.303255974061712,1.0474058658436585,211.01798400878906,227.61304641129382,194.4229216062843,0.9535559839064529
1970-01-01 00:00:00.000000040,,226.9249725341797,227.6394480565936,224.6327032088037,226.1807284601389,48076100,212.59528579711915,,,66.08629136765035,7.704004145976143,6.583405608444599,1.120598537531544,212.59528579711915,228.92624653453973,196.26432505969856,0.9387276097059513
1970-01-01 00:00:00.000000041,,231.19195556640625,231.29119415797783,227.49058625437067,227.5402055501565,62627700,214.57299041748047,,,73.80895295046831,8.233430477850533,6.913410582325786,1.320019895524747,214.57299041748047,229.7576265236088,199.38835431135215,1.0472296152760152
1970-01-01 00:00:00.000000042,,225.8235015869141,230.6065022056456,224.0373128145247,229.61417679228308,64710600,215.5861572265625,,,72.33465498514353,8.126142181349877,7.155956902130605,0.9701852792192724,215.5861572265625,230.9418379663866,200.2304764867384,0.8333406227247747
1970-01-01 00:00:00.000000043,,228.77066040039065,230.8545495178413,226.9249347980344,227.1630983131288,53046500,216.45295181274415,,,78.22678016069038,8.18457977825662,7.361681477355807,0.8228983009008122,216.45295181274415,232.75022870589885,200.15567491958944,0.877906955511699
1970-01-01 00:00:00.000000044,,232.6010589599609,235.409341553401,231.30111515749465,234.6650975313768,62631300,217.4532157897949,,,79.81381629460076,8.442651515305897,7.577875484945826,0.8647760303600709,217.4532157897949,235.14935802305865,199.75707355653117,0.9279984578133741
1970-01-01 00:00:00.000000045,,233.01785278320312,234.4567215545301,230.54695713829173,233.19646408342908,43234300,218.5611457824707,,,79.57731975878944,8.581880428918709,7.778676473740402,0.8032039551783061,218.5611457824707,237.26496632310503,199.85732524183638,0.8864640106368914
1970-01-01 00:00:00.000000046,,227.12342834472656,229.6836295353235,224.9006141352506,227.68904591405493,57345900,219.1669609069824,,,67.25547108710794,8.122953207410205,7.847531820474363,0.27542138693584217,219.1669609069824,238.1686099994215,200.16531181454332,0.7093625505617324
